cve_ent,cve_mun,cve_loc,records,average_points,nse
12,054,0130,9438,12.5,E
24,028,0251,16212,32.5,E
04,001,0010,67201,45.25108257317599,D
29,005,0006,31837,39.82146559035085,D
16,034,0128,35815,30.526315789473685,E
17,024,0007,135339,47.9315570530298,D
17,007,0125,4324,102.75,D+
25,006,1336,7194,84.83333333333333,D+
17,015,0004,189486,53.78603696315295,D
24,013,0126,22665,25.554820207368188,E
07,066,0005,288145,44.50022731610821,D
24,028,0244,5790,20.0,E
10,007,0123,58668,50.18614917842776,D
31,092,0002,145143,34.76995101382774,D
26,003,0245,9390,14.0,E
04,010,0124,30808,47.72023500389509,D
13,082,0003,295599,50.97691805452657,D
30,070,0121,16890,42.0,D
10,005,0242,15336,69.22222222222223,D
28,003,0122,55884,70.79935222961849,D
26,042,0001,20898982,77.92151545946113,D
27,004,0129,4199,145.30316742081448,C
20,021,0008,311733,47.90026080010779,D
10,022,0009,247315,55.43045104421487,D
12,030,0020,56413,36.20516547604276,D
27,012,0141,29428,46.440600788364826,D
22,006,0142,4960,100.6,D+
20,333,0021,156565,56.76819212467665,D
02,004,0381,31059,58.1764705882353,D
16,049,0140,8045,28.4,E
32,042,0261,813,62.0,D
03,001,0380,6118,57.36842105263158,D
26,003,0259,7512,50.5,D
30,021,0017,223035,58.583177528190646,D
08,066,0139,6868,23.25,E
08,017,0018,78809,52.49873745384411,D
21,169,0015,128838,42.665680932644094,D
25,006,1105,11990,51.5,D
04,011,0137,1695,13.0,E
20,041,0016,61547,31.32588103400653,E
22,006,0255,13190,41.932903714935556,D
07,094,0134,19530,39.55555555555556,D
07,075,0013,336593,44.69467873663445,D
16,050,0135,9610,27.0,E
10,006,0014,351336,62.50656067126625,D
25,008,0132,26768,60.709391811117754,D
24,006,0011,192193,29.95122090814962,E
27,004,0133,82500,47.484145454545455,D
29,033,0012,95143,37.1333256256372,D
04,011,0814,1356,10.0,E
31,092,0019,182901,71.0456367105702,D
11,037,0394,3259,45.0,D
23,004,0152,2620,13.25,E
15,042,0031,144687,48.2910420424779,D
26,003,0274,7512,27.0,E
07,065,0153,37609,48.180196229625885,D
07,022,0032,24691,34.13073589567049,D
26,003,0150,23514,44.95445266649656,D
04,011,1482,326,70.0,D
25,008,0030,100530,43.8131900925097,D
21,053,0149,8028,28.75,E
17,011,0028,61973,39.87413873783745,D
13,051,0029,75976,25.273849636727387,E
30,070,0147,3378,62.0,D
25,017,0026,272685,45.51735152281937,D
02,004,1599,7292,281.3459956116292,AB
11,002,0027,111892,42.36377042147785,D
07,094,0024,51116,43.87272087017764,D
23,004,0267,9503,35.94117647058823,D
30,070,0146,6756,37.5,D
27,003,0025,110115,53.05574172456069,D
27,004,0264,3744,67.125,D
13,030,0143,16860,73.95136417556347,D
05,014,0022,83308,51.688565323858455,D
32,038,0144,7350,35.6,D
14,013,0023,91244,78.44464293542589,D
14,097,0822,30912,73.72864906832298,D
30,077,0042,84864,55.55995475113122,D
27,006,0043,19504,31.7072908121411,E
27,009,0040,55668,44.41751095782137,D
13,073,0041,43485,46.44210647349661,D
26,030,0280,3147,53.666666666666664,D
26,042,0039,23860,37.8,D
30,028,0037,102475,59.151461332032206,D
30,077,0038,60460,36.5201786304995,D
03,001,0035,49608,53.26511852926947,D
12,058,0157,14321,28.9525871098387,E
04,011,0036,48435,23.854485392794466,E
21,169,0033,9464,33.75,D
04,009,1002,6240,29.2,E
25,010,0155,4772,19.75,E
25,009,0034,82071,48.79168037431005,D
08,066,0717,1717,10.0,E
14,097,0833,36368,100.78294104707435,D+
19,006,0174,40698,99.8795763919603,D+
22,011,0053,23589,51.59180126330069,D
30,070,0296,3378,77.0,D
03,008,0054,71638,64.76051816075267,D
11,001,0172,8199,48.333333333333336,D
27,013,0051,76571,39.03624087448251,D
08,012,0173,4470,10.0,E
16,071,0052,110863,42.81180375779115,D
04,011,0294,1304,23.25,E
14,093,0291,111694,66.65780614894264,D
15,067,0050,26238,56.54493482734964,D
13,084,0171,11925,40.824150943396226,D
01,001,2229,2735,43.8,D
10,004,0048,8256,56.916666666666664,D
13,073,0049,119165,65.27983048713968,D
27,010,0046,71212,42.109475931022864,D
15,120,0168,148466,59.828283916856385,D
27,008,0047,48370,46.288691337605954,D
27,006,0044,72873,53.96235917280749,D
23,004,0166,3275,37.8,D
06,001,0045,57618,50.83786316776008,D
27,008,0607,5252,56.84615384615385,D
11,037,0064,62680,48.75,D
11,014,0186,24916,45.2257184138706,D
27,013,0062,21418,63.65888504995798,D
19,041,0063,18677,46.31578947368421,D
32,038,0060,48284,45.14594896860243,D
27,003,0061,105335,45.24432524801823,D
19,038,0180,6100,69.0,D
27,004,0059,23194,50.46115374665862,D
24,039,0057,6684,14.5,E
05,035,0178,22465,46.1672824393501,D
22,005,0058,7876,35.18181818181818,D
07,089,0179,25452,26.444444444444443,E
02,001,1025,24276,45.35294117647059,D
12,028,0055,48695,34.481856453434645,D
27,004,0176,26885,57.33438720476102,D
22,003,0056,13658,37.98638160784888,D
25,010,0177,11930,27.3,E
04,003,0614,9994,54.68421052631579,D
27,004,0196,6440,50.15,D
12,028,0076,16227,17.77777777777778,E
22,011,0073,16891,44.421052631578945,D
11,026,0074,49704,52.89473684210526,D
15,037,0071,47166,52.90035194843743,D
30,023,0193,26883,10.0,E
27,006,0072,4518,36.888888888888886,D
06,001,0190,333,10.0,E
16,102,0070,29934,45.55555555555556,D
08,017,0068,67027,44.42820057588733,D
01,001,0982,2735,44.6,D
27,013,0069,32559,41.836512177892445,D
02,004,0187,14555,32.6,E
27,004,0066,65767,67.17704928003405,D
08,066,0188,11338,10.0,E
27,004,0067,20917,35.15513696992877,D
31,096,0509,16960,23.15,E
19,038,0866,58152,126.11667698445453,C-
12,057,0086,41279,64.79524697788221,D
27,004,0087,138208,47.17117677703172,D
27,008,0084,33282,80.41343669250647,D+
16,050,0085,26908,30.428571428571427,E
12,030,0083,11150,28.644843049327353,E
11,030,0080,63610,48.68104071686842,D
18,015,0081,18797,49.11187955524818,D
27,008,0632,1212,40.666666666666664,D
03,008,0753,25250,67.91302970297029,D
09,008,0079,32017,52.66702064528219,D
03,008,0198,5032,72.47058823529412,D
22,016,0077,45137,45.73786472295456,D
07,078,0078,41038,24.518105170817293,E
11,037,0638,32590,60.9,D
15,082,0514,29046,32.5,E
24,022,0090,3222,42.4096834264432,D
24,021,0097,6624,53.666666666666664,D
16,049,0098,9654,35.5,D
21,010,0095,39043,43.79071792638885,D
15,118,0096,70992,56.84909567275186,D
12,028,0094,20267,30.384615384615383,E
11,037,0091,93570,42.47885005877952,D
11,030,0401,21591,45.0,D
02,003,0883,10512,56.625,D
18,020,0088,25293,35.2083975803582,D
25,006,2707,1199,104.0,D+
08,066,0769,1717,10.0,E
14,035,0406,9201,74.66666666666667,D
19,038,0527,1525,62.0,D
01,001,2043,2188,79.25,D
04,011,0530,326,70.0,D
26,030,1862,10490,55.9,D
11,014,0652,21560,28.0,E
02,003,1625,11826,90.33333333333333,D+
14,035,0416,18402,65.66666666666667,D
25,006,3265,1199,99.0,D+
03,008,0304,6804,71.5,D
08,066,0786,9342,53.42217940483837,D
32,042,0300,813,43.0,D
06,001,0308,333,25.0,E
03,002,1517,4108,18.846153846153847,E
32,038,0426,4344,33.333333333333336,D
12,001,0560,1800,30.0,E
04,011,1402,652,10.0,E
25,006,0312,47960,44.4,D
12,057,0552,5835,34.0,D
19,038,0674,7625,58.8,D
32,042,0311,62797,67.44970301129035,D
02,004,1883,32508,64.8423772609819,D
02,004,0679,27075,77.67036011080333,D
11,037,0450,16295,38.6,D
25,001,0205,24780,67.35,D
03,003,0684,5328,66.5,D
32,038,0440,2896,43.75,D
12,001,0561,9000,34.6,D
16,049,0207,9783,35.142696514361646,D
11,014,0340,43624,45.63157894736842,D
08,012,0580,2980,10.0,E
32,038,0216,11396,44.13513513513514,D
12,001,0697,18000,30.5,E
19,012,0211,62016,75.15789473684211,D
19,018,0212,6759,124.95739014647137,C-
13,028,0210,21344,19.875,E
21,114,0218,31691,54.40374238742861,D
02,001,1561,45106,67.78947368421052,D
25,006,3185,1199,130.0,C
12,058,0105,38260,48.25067956089911,D
30,023,0226,39690,16.472209624590576,E
30,068,0103,46214,81.28015320032891,D+
11,014,0587,8624,30.0,E
07,065,0224,19665,22.48665141113654,E
09,008,0104,15453,55.09480359800686,D
27,004,0222,7242,58.88235294117647,D
14,013,0101,27414,64.70817830305683,D
04,011,0344,978,10.0,E
32,020,0102,11374,65.3463161596624,D
06,001,0220,333,58.0,D
04,011,0341,2934,21.22222222222222,E
04,011,0342,6650,38.526315789473685,D
30,023,0100,62283,30.842846362570846,E
01,001,2409,547,148.0,C
06,002,0109,11809,68.33711575916674,D
01,001,2408,547,119.0,C-
22,014,0107,4965,48.6,D
14,035,0228,68756,55.09234103205539,D
14,064,0108,33236,50.59898904802022,D
30,070,0240,22850,35.42739606126915,D
25,010,0482,25244,32.31365869117414,E
28,032,0120,46158,58.269660730534255,D
30,094,0116,31764,42.083333333333336,D
31,050,0117,14518,44.8235294117647,D
12,011,0238,6244,23.0,E
27,008,0477,1536,18.75,E
12,057,0114,30271,48.874368207195005,D
17,007,0115,4384,50.0,D
04,010,0236,1935,10.0,E
01,005,0475,4190,141.4,C
13,084,0112,20891,46.81997032214829,D
27,002,0113,3820,34.5,D
04,011,0355,5724,54.44444444444444,D
07,075,0234,8978,31.794386277567387,E
32,038,0352,724,45.0,D
25,010,1441,6530,34.6,D
27,008,0232,7106,36.14734027582325,D
27,004,0111,7180,95.95,D+
25,017,0595,23085,56.526315789473685,D
09,013,0118,1980,44.55555555555556,D
25,006,1328,1199,69.0,D
