cve_ageb,ubica_geo,records,points,nse,est_socio
001-0,070060040,117768,63.10551071166992,D,1.1804225
001-2,070140003,129770,66.39855194091797,D,1.5318949
001-3,201350001,54894,55.850929260253906,D,1.0235909
001-4,060030037,109034,54.51694107055664,D,1.053011
001-5,211780013,81567,53.24838638305664,D,1.0
001-6,301910009,69955,93.1490249633789,D+,2.0
001-7,040110001,92147,62.9901123046875,D,1.6771029
001-8,120790001,213658,62.93607711791992,D,1.3242565
001-9,040090001,106417,45.70936965942383,D,1.0821297
001-A,060010045,44595,66.0060806274414,D,1.9029263
002-0,130270036,54416,62.55128860473633,D,1.0508122
002-1,070210002,73626,72.6697769165039,D,1.6721946
002-2,130770001,9305,94.75711822509766,D+,2.0
002-3,180110010,131682,77.10344696044922,D,2.0
002-4,203330007,7520,41.0,D,1.0
002-5,010070040,115635,53.83415985107422,D,1.2435508
002-6,070230008,52074,40.004608154296875,D,1.0
002-7,130630014,89500,80.38665771484375,D+,1.6125698
002-8,070940133,135375,57.286529541015625,D,1.5391468
002-9,070220019,63796,59.31299591064453,D,1.3958085
002-A,220060001,28117,83.34310150146484,D+,2.154533
003-0,204850001,29985,50.059661865234375,D,1.2596298
003-1,190410063,81029,86.42585754394531,D+,1.7695023
003-2,020040001,10540,93.39459228515625,D+,2.7537951
003-4,010090008,56364,73.77336883544922,D,1.682794
003-5,010050475,26687,84.81878662109375,D+,1.4745756
003-6,130230001,55362,84.65510559082031,D+,1.5906578
003-7,301310001,72962,72.05723571777344,D,1.1828349
003-8,010040032,69067,56.92756271362305,D,1.152895
003-9,060010234,46776,68.29773712158203,D,1.133188
003-A,170160005,9756,78.27777862548828,D,1.0
004-0,130230001,45830,88.54666900634766,D+,1.8244599
004-1,040020001,13788,74.01348876953125,D,1.2581955
004-3,060010308,63373,55.776214599609375,D,1.2190207
004-4,204730001,40440,73.05046844482422,D,1.4080119
004-5,170070001,24792,57.75540542602539,D,1.4614391
004-6,161120018,130883,66.0449447631836,D,1.3317084
004-7,160850009,24948,81.75115966796875,D+,2.0
004-9,040030001,5762,104.64057922363281,D+,2.4069767
004-A,130110009,114957,72.73954772949219,D,1.6244944
005-0,300940013,29117,67.81818389892578,D,1.0
005-1,050350001,130770,72.09717559814453,D,1.6591649
005-2,070010001,73877,67.44986724853516,D,1.5566415
005-3,240390001,24736,85.3125,D+,2.0
005-4,100380008,64175,74.68490600585938,D,1.2577795
005-5,204410001,53340,53.54999923706055,D,1.0
005-6,070750034,98112,55.77387237548828,D,1.5211799
005-7,170080005,55534,71.6051254272461,D,1.3586272
005-8,210830028,103289,66.72867584228516,D,1.1463951
005-9,204730001,102421,46.331974029541016,D,1.1293485
005-A,130300143,47136,92.87667846679688,D+,2.0257127
006-0,070750013,69387,50.14971160888672,D,1.2022713
006-2,200590124,41390,81.8929214477539,D+,1.4397198
006-3,270100005,72674,68.90351104736328,D,1.3095467
006-4,150370071,65584,76.81704711914062,D,1.9878477
006-5,250010001,16252,90.25658416748047,D+,2.2238493
006-6,050350001,45534,60.320465087890625,D,1.4395837
006-7,090080001,60885,95.75737762451172,D+,2.1318552
006-9,170140001,44163,103.22640991210938,D+,1.9426217
006-A,170050001,15900,65.90603637695312,D,2.0
007-0,110210017,37964,87.17405700683594,D+,1.3370562
007-1,180040001,6200,123.0999984741211,C-,3.0
007-2,140130101,48606,75.70094299316406,D,2.0
007-3,060060001,87129,88.46510314941406,D+,2.083279
007-4,170310001,24555,87.15695190429688,D+,1.556628
007-5,270060072,4518,65.5,D,1.0
007-6,160410031,29920,66.94999694824219,D,2.0
007-7,110260074,54951,72.41671752929688,D,2.0
007-8,141130060,180074,70.2510986328125,D,1.5477637
007-9,010030055,82186,59.16084289550781,D,1.1492468
007-A,270080232,5526,60.5,D,1.0
008-0,060100001,25375,84.49808502197266,D+,2.1400986
008-1,210830087,52517,56.157493591308594,D,1.0437953
008-2,110010228,82701,68.81217956542969,D,2.0
008-3,151180001,65483,77.45309448242188,D,2.3315518
008-4,230050001,12508,111.83378601074219,C-,2.289095
008-5,010060001,49280,102.84078979492188,D+,2.4069805
008-7,140130023,123973,70.59172821044922,D,1.4706428
008-8,202780029,91351,53.063533782958984,D,1.0348108
008-9,170050001,18360,96.41851806640625,D+,2.0
008-A,130770001,34590,86.5438003540039,D+,2.0
009-0,211190001,9755,142.60000610351562,C,4.0
009-3,211180001,45252,89.77777862548828,D+,2.0
009-5,060100001,1820,87.0,D+,3.0
009-6,210410008,64876,82.28740692138672,D+,2.1940317
009-9,150330001,24542,84.31741333007812,D+,2.097873
009-A,290420001,2440,92.5,D+,2.0
010-1,130840171,123588,75.01502227783203,D,1.9260851
010-2,180080001,2725,122.19999694824219,C-,3.0
010-3,130500001,83752,78.92178344726562,D,1.5723684
010-4,220110053,14598,75.0,D,2.0
010-5,090160001,62955,111.75209045410156,C-,2.5816376
010-7,240220023,15130,72.77005767822266,D,1.6569729
010-9,060010001,101942,82.70714569091797,D+,1.8185047
010-A,220040095,28408,87.01119232177734,D+,1.2571107
011-1,160500135,74168,54.47795486450195,D,1.2837073
011-3,070780078,28390,38.117645263671875,D,1.0
011-5,150580001,20155,92.0,D+,2.0
011-6,070090046,94419,68.25495147705078,D,1.4571855
011-7,090170001,72550,81.71578216552734,D+,2.1914265
011-A,110200001,12984,205.0,AB,4.0
012-0,110300080,105349,66.60874938964844,D,1.5901053
012-1,020040001,53896,81.51976013183594,D+,2.0
012-2,110070001,39078,121.1286392211914,C-,2.7140846
012-4,280380001,110099,94.94833374023438,D+,2.1522086
012-6,180150013,50515,88.1861801147461,D+,2.0
012-7,060100001,2780,97.12913513183594,D+,3.0
012-8,090060001,17440,118.19999694824219,C-,3.0
012-9,270100001,21320,104.0345230102539,D+,2.30924
012-A,140180001,57259,89.89229583740234,D+,1.9167641
013-1,170080001,11178,88.235107421875,D+,2.7094293
013-2,080600001,43733,117.2008056640625,C-,2.257517
013-3,110010001,69453,84.88687133789062,D+,2.0
013-4,090140001,31500,106.55238342285156,C-,2.5053968
013-5,140350406,21993,89.25717163085938,D+,1.7611967
013-7,205700001,34610,80.01577758789062,D+,1.7021092
013-8,090040001,14288,130.75,C,3.0
013-9,310400001,23826,87.84210205078125,D+,2.0
014-0,270040001,15140,69.56935119628906,D,2.0
014-1,290280001,19146,82.6113052368164,D+,1.1613914
014-3,150230001,38071,92.40154266357422,D+,2.226314
014-4,110270001,18472,72.24978637695312,D,2.0
014-5,220050001,40015,107.44747924804688,C-,2.3105085
014-6,060100001,18406,115.50516510009766,C-,2.2106922
014-7,170040042,16596,47.38888931274414,D,1.0
014-8,070270001,36447,94.82048034667969,D+,2.2995033
014-9,150580001,22853,75.01102447509766,D,2.0
014-A,151090025,26008,117.25,C-,3.0
015-1,210150001,13172,112.91747283935547,C-,2.0
015-5,311010006,14904,45.27777862548828,D,1.0
015-6,030090001,7480,87.80000305175781,D+,2.0
015-7,220060001,5985,156.1999969482422,C+,4.0
015-8,010050001,98744,90.60945129394531,D+,2.0
015-9,203970001,32547,86.63157653808594,D+,2.0
015-A,150310001,44160,81.70640563964844,D+,2.0
016-1,220060001,50946,77.14603424072266,D,1.1720645
